com.samsung.shealth.cycle.daily_temperature,6293007,4
custom,discard_type,temperature_delta,update_time,create_time,temperature,extract_algo,deviceuuid,pkg_name,datauuid,day_time,excluded
5e193db5-1188-4097-ab20-1c40e17237f2.custom.json,,-0.03,2025-03-09 12:28:23.142,2024-08-15 00:50:00.912,36.37,100,J+ZRiIffUm,com.sec.android.app.shealth,5e193db5-1188-4097-ab20-1c40e17237f2,2024-08-09 00:00:00.000,,
8dbcfe99-892f-438e-be95-bda23a37f035.custom.json,,-0.16,2025-03-09 12:28:23.169,2024-08-15 00:50:00.933,36.24,100,J+ZRiIffUm,com.sec.android.app.shealth,8dbcfe99-892f-438e-be95-bda23a37f035,2024-08-10 00:00:00.000,,
83a78b39-688e-4bf8-8a26-9621ed586bbd.custom.json,,-0.26,2025-03-09 12:28:23.188,2024-08-15 00:50:00.936,36.13,100,J+ZRiIffUm,com.sec.android.app.shealth,83a78b39-688e-4bf8-8a26-9621ed586bbd,2024-08-11 00:00:00.000,,
08621494-cb2b-4c8a-9e9f-ab93f77dc886.custom.json,,-0.32,2025-03-09 12:28:23.207,2024-08-15 00:50:00.938,36.06,100,J+ZRiIffUm,com.sec.android.app.shealth,08621494-cb2b-4c8a-9e9f-ab93f77dc886,2024-08-12 00:00:00.000,,
af1c8c41-00c7-49ff-ada3-8f785a7d8594.custom.json,,-0.13,2025-03-09 12:28:23.229,2024-08-15 00:50:00.938,36.24,100,J+ZRiIffUm,com.sec.android.app.shealth,af1c8c41-00c7-49ff-ada3-8f785a7d8594,2024-08-13 00:00:00.000,,
b21dd7f9-e381-43f6-968a-2987949932f3.custom.json,,0.01,2025-03-09 12:28:23.256,2024-08-15 00:50:00.940,36.37,100,J+ZRiIffUm,com.sec.android.app.shealth,b21dd7f9-e381-43f6-968a-2987949932f3,2024-08-14 00:00:00.000,,
b632bcfc-1674-4fdc-b2a3-456865e9f4bc.custom.json,,0.13,2025-03-09 12:28:23.275,2024-08-16 02:29:49.153,36.49,100,J+ZRiIffUm,com.sec.android.app.shealth,b632bcfc-1674-4fdc-b2a3-456865e9f4bc,2024-08-15 00:00:00.000,,
801c91d9-f3e9-4769-8e27-1b0413847cb6.custom.json,,0.0,2025-03-09 12:28:22.704,2024-08-18 15:08:41.477,36.32,100,J+ZRiIffUm,com.sec.android.app.shealth,801c91d9-f3e9-4769-8e27-1b0413847cb6,2024-07-21 00:00:00.000,,
123f125b-d5e0-4e2e-9453-a6a5dfa8c121.custom.json,,0.05,2025-03-09 12:28:22.725,2024-08-18 15:08:41.489,36.37,100,J+ZRiIffUm,com.sec.android.app.shealth,123f125b-d5e0-4e2e-9453-a6a5dfa8c121,2024-07-22 00:00:00.000,,
90fdf9c2-7f0d-4d2b-a9dc-a8315cc83baa.custom.json,,-0.01,2025-03-09 12:28:22.746,2024-08-18 15:08:41.491,36.34,100,J+ZRiIffUm,com.sec.android.app.shealth,90fdf9c2-7f0d-4d2b-a9dc-a8315cc83baa,2024-07-23 00:00:00.000,,
