com.samsung.shealth.vitality_score,6293007,3
activity_level,activity_score,create_sh_ver,active_time_scale,activity_balance_short_term_activity,activity_balance_long_term_activity,shr_balance_scale,mvpa_time_optimal_range_max,mvpa_time_optimal_range_min,max_hr,active_time,shrv_balance_scale,main_sleep_wake_up_time,mvpa_impulse_optimal_range_max,mvpa_impulse_optimal_range_min,shr_baseline_max,shr_baseline_min,shr_calculation_index,mvpa_time,modify_sh_ver,sleep_balance,update_time,create_time,total_score,data_version,avg_mid_sleep_time,mvpa_time_range_max,mvpa_time_range_min,mvpa_impulse,shrv_calculation_index,sleep_regularity_scale,stable_hr_time_rate,active_time_optimal_range_max,active_time_optimal_range_min,sleep_timing,shr_score,shr_value,mvpa_impulse_scale,sleep_regularity,sleep_timing_scale,prev_shrv_avg,mvpa_time_scale,deviceuuid,sleep_score,sleep_duration_scale,activity_balance,activity_balance_range_max,activity_balance_range_min,mvpa_impulse_range_max,mvpa_impulse_range_min,pkg_name,sleep_balance_scale,shrv_score,shrv_value,sleep_duration,activity_balance_scale,active_time_range_max,active_time_range_min,shrv_baseline_max,shrv_baseline_min,datauuid,prev_shr_avg,day_time,shrv_penalty,activity_balance_optimal_range_max,activity_balance_optimal_range_min
180003,52.301495,62850050,73.24814,,,79.73044,,,196.0,3516784,99.85038,1734418710000,,,62.298832,59.019947,-1,88000,62850050,1.2451322,2024-12-17 16:18:08.450,2024-12-17 16:18:08.450,67.08984,1,3.8309524,,,132.35226,-1,99.10157,0.8148148,,,3.15,79.73044,64.026665,96.16206,1.0059122,79.25,43.056015,77.28966,J+ZRiIffUm,55.09558,76.63095,,,,,,com.sec.android.app.shealth,76.094574,99.85038,43.16387,22187142,,,,55.33113,39.190697,ea797080-1a4e-47e5-a7e8-941c9d84cf6a,65.57772,2024-12-17 00:00:00.000,0,,,
180003,57.06864,62850050,70.89316,,,61.526802,,,196.0,3243606,96.310974,1734502440000,,,62.924633,59.612812,-1,744546,62850050,1.3240888,2024-12-18 15:23:25.670,2024-12-18 15:23:25.670,74.52208,1,3.5190475,,,138.24521,-1,75.40951,0.77546775,,,22.216667,61.526802,69.21118,99.172516,1.1138176,81.083336,42.182133,84.08151,J+ZRiIffUm,84.84863,80.63095,,,,,,com.sec.android.app.shealth,76.58806,96.310974,41.22271,23627142,,,,54.134052,38.414963,db93a41b-c47d-4ea6-b6a9-b80619dca597,66.23646,2024-12-18 00:00:00.000,0,,,
180003,83.65425,62850050,97.87373,,,63.193634,,,196.0,6953353,87.93358,1734587850000,,,63.43862,60.099747,-1,834502,62850050,1.3332131,2024-12-19 15:41:01.996,2024-12-19 15:41:01.996,79.415436,1,3.5333333,,,137.44388,-1,75.267555,0.8300117,,,22.85,63.193634,69.405495,99.80693,1.0986284,84.25,40.639645,85.01814,J+ZRiIffUm,88.04637,81.71429,,,,,,com.sec.android.app.shealth,76.64508,87.93358,37.72183,24017142,,,,52.025146,37.044712,25eedfa3-cd71-4d15-958a-58aac5f0981f,66.7775,2024-12-19 00:00:00.000,0,,,
180003,64.53754,62850050,79.87506,,,58.464897,,,196.0,4568261,99.283554,1734679650000,,,63.68552,60.333652,-1,798021,62850050,1.447055,2024-12-20 18:36:06.026,2024-12-20 18:36:06.026,77.99034,1,3.2571428,,,130.85484,-1,97.09218,0.81791043,,,23.083334,58.464897,70.99102,94.97656,0.8625756,85.833336,40.799942,84.6347,J+ZRiIffUm,96.98492,83.083336,,,,,,com.sec.android.app.shealth,77.35659,99.283554,41.28461,24510000,,,,52.24406,37.187164,5d26cf35-f9c3-48b1-834c-e90953642967,67.03739,2024-12-20 00:00:00.000,0,,,
180003,85.94603,62850050,95.31486,,,59.534668,,,196.0,7743477,79.53171,1734760740000,,,63.88421,60.52188,-1,713901,62850050,1.4050887,2024-12-21 14:26:11.842,2024-12-21 14:26:11.842,78.95535,1,3.2119048,,,131.194,-1,97.41351,0.60199004,,,23.283333,59.534668,70.79184,95.24507,0.88549685,87.83333,39.376507,83.764496,J+ZRiIffUm,91.97505,84.178566,,,,,,com.sec.android.app.shealth,77.09431,79.53171,34.16239,24904285,,,,50.30213,35.921654,ee049cff-6a90-403a-963c-14f2a94cb7d6,67.24654,2024-12-21 00:00:00.000,0,,,
180003,43.013584,62850050,58.93563,,,64.08254,,,196.0,1763409,86.52481,1734846300000,,,64.90396,61.487965,-1,0,62850050,1.3903437,2024-12-22 15:31:24.604,2024-12-22 15:31:24.604,72.28155,1,2.992857,,,-1.0,-1,98.68588,0.7719298,,,22.15,64.08254,70.80623,-1.0,0.9762603,80.75,38.735035,76.37931,J+ZRiIffUm,92.27595,83.916664,,,,,,com.sec.android.app.shealth,77.00215,86.52481,35.681026,24810000,,,,49.428528,35.350975,6fb81d94-a4f0-445c-acd6-156c400e294a,68.31996,2024-12-22 00:00:00.000,0,,,
180003,47.189674,62850050,65.45868,,,77.92041,,,196.0,2613207,97.48207,1734939480000,,,65.58552,62.13365,-1,0,62850050,1.4962747,2024-12-23 17:59:05.638,2024-12-23 17:59:05.638,79.96345,1,2.9809523,,,-1.0,-1,98.61652,0.8810916,,,23.083334,77.92041,68.029305,-1.0,0.97131205,85.833336,38.63616,76.37931,J+ZRiIffUm,98.596245,87.51785,,,,,,com.sec.android.app.shealth,77.664215,97.48207,38.048187,25804285,,,,49.293953,35.262993,7cd9badc-2b28-43bb-b9e4-18634d633249,69.03739,2024-12-23 00:00:00.000,0,,,
180003,68.58703,62850050,91.24405,,,83.81903,,,196.0,6184309,98.6401,1735020870000,,,65.89461,62.42647,-1,25000,62850050,0.78510445,2024-12-24 19:14:00.999,2024-12-24 19:14:00.999,84.09311,1,2.697619,,,126.840004,-1,92.04645,0.3952569,,,23.916666,83.81903,66.304184,91.798035,0.5026462,94.16666,38.068436,76.63793,J+ZRiIffUm,90.22206,92.875,,,,,,com.sec.android.app.shealth,96.006134,98.6401,38.915096,27090000,,,,48.521713,34.75769,c181b57b-ad59-473a-a2d7-784ac0dac7bf,69.36275,2024-12-24 00:00:00.000,0,,,
180003,37.27354,62850050,53.195576,,,68.94676,,,196.0,595358,98.59581,1735112490000,,,66.14104,62.65993,-1,0,62850050,0.8150339,2024-12-26 02:30:39.843,2024-12-26 02:30:39.843,75.07392,1,2.8857143,,,-1.0,-1,92.470825,0.61507535,,,23.4,68.94676,71.02695,-1.0,0.5329188,89.0,37.708813,76.37931,J+ZRiIffUm,97.16807,93.464294,,,,,,com.sec.android.app.shealth,96.42571,98.59581,38.572796,27231428,,,,48.032936,34.43751,44dd8982-5d4d-4068-ad9b-00e98ad8be9b,69.62215,2024-12-25 00:00:00.000,0,,,
180003,87.43764,62850050,88.69209,,,74.307816,,,196.0,5888283,99.218414,1735199790000,,,66.2008,62.716545,-1,2080646,62850050,1.1092991,2024-12-26 17:08:41.058,2024-12-26 17:08:41.058,80.05448,1,3.2880952,,,131.0705,-1,98.03497,0.8356375,,,2.5166667,74.307816,69.84583,95.14729,0.92982817,82.416664,37.78601,95.64514,J+ZRiIffUm,77.47012,89.85713,,,,,,com.sec.android.app.shealth,75.24562,99.218414,38.26575,26365714,,,,48.137836,34.506252,b87babe0-61ae-49d4-9c63-533ee4853b4c,69.68505,2024-12-26 00:00:00.000,0,,,
